IdFuncionario,NomeCompleto,DataNascimento,CPF,Sexo,SalarioBruto,Cargo,idSetor,Setor,Ramal
1,Lara da Mota,1962-10-23,860.452.487-83,Feminino,4426.04,Arquiteto de TI,1,Markting,1001
2,Isis Rocha,1967-03-17,153.826.607-51,Feminino,4828.11,Designer de Bancário,2,Markting,1002
3,Luiz Otávio Galvão,1988-02-20,147.327.856-20,Masculino,3437.64,Analista de Governamental,3,Markting,1003
4,Yango Rebouças,2003-04-04,553.514.162-39,Masculino,3470.76,Assistente de Serviços Comunitários,4,RH,1004
5,Margarida Muniz,1999-09-12,501.413.047-07,Feminino,4102.98,Designer de Propaganda,5,Financeiro,1005
6,Ana Vitória Almada,1989-10-29,358.554.452-59,Feminino,2141.03,Facilitador de Design,6,Vendas,1006
7,Carla Filgueira,1977-07-22,871.522.756-10,Feminino,3652.24,Coordenador de Bancário,7,Markting,1007
8,Felipe Goulart,2007-07-27,146.253.024-98,Masculino,3172.05,Desenvolvedor de Mineração,8,Financeiro,1008
9,Davi Miguel da Luz,1984-01-13,730.033.117-35,Masculino,5680.27,Analista de Varejo,9,Markting,1009
10,Bruno Meireles,1996-05-20,272.275.000-71,Masculino,8210.03,Assistente de Bancário,10,TI,1010
11,Pedro Louzada,1998-05-23,104.001.342-25,Masculino,1461.73,Técnico de Propaganda,11,RH,1011
12,Félix Goulart,2002-10-11,600.243.157-88,Masculino,4578.85,Contato de Hospitalidade,12,Markting,1012
13,Talita de Assunção,1993-11-23,706.254.053-66,Feminino,5886.26,Associado de Consultoria,13,TI,1013
14,Ricardo Menendes,1965-02-25,161.746.360-46,Masculino,33365.53,Diretor de Governamental,14,Vendas,1014
15,Ana Júlia Corte,1972-06-08,775.126.441-16,Feminino,4865.25,Técnico de Construção,15,RH,1015
16,João Miguel Muniz,2006-05-26,038.882.841-20,Masculino,1935.88,Engenheiro de Vendas,16,RH,1016
17,Vitor Hugo Fogaça,1983-05-14,611.653.356-62,Masculino,5497.96,Coordenador de Administração,17,Vendas,1017
18,Maria Sophia Caldeira,1977-03-11,651.284.222-75,Feminino,2186.23,Supervisor de Mineração,18,RH,1018
19,Olívia Nunes,1989-12-19,035.134.356-30,Feminino,3861.15,Analista de Administração,19,Markting,1019
20,Amanda Soares,2000-09-17,844.482.417-85,Feminino,4117.22,Contato de Marketing,20,TI,1020
21,Vinicius Roseira,1984-10-09,250.550.512-80,Masculino,2491.86,Supervisor de TI,21,Markting,1021
22,Henrique da Madureira,2001-02-27,614.100.580-26,Masculino,2369.95,Desenvolvedor de Tecnologia,22,RH,1022
23,Nathan Paiva,1975-04-17,305.176.584-88,Masculino,5039.53,Associado de Saúde,23,Vendas,1023
24,Clarice Soares,1993-07-30,544.463.418-04,Feminino,3405.65,Fabricante de Governamental,24,Financeiro,1024
25,Antônio Pinto,1973-12-23,521.255.016-51,Masculino,4714.31,Estrategista de Design,25,Vendas,1025
26,Kauê Rêgo,2000-06-19,462.061.834-91,Masculino,5232.76,Arquiteto de Industrial,26,Financeiro,1026
27,José Antunes,1962-12-19,030.448.235-87,Masculino,4784.91,Oficial de Imobiliária,27,Markting,1027
28,Pedro da Paz,2006-05-21,447.752.332-70,Masculino,5685.88,Assistente de Construção,28,TI,1028
29,Luana Camacho,1993-06-06,155.502.228-68,Feminino,36605.62,Diretor de Bancário,29,Markting,1029
30,Elisa Ribeiro,1994-10-16,201.882.673-52,Feminino,3965.26,Estrategista de Contabilidade,30,Financeiro,1030
31,Fernando Vimaranes,1985-08-27,507.567.747-99,Masculino,46072.36,Diretor de Administração,31,TI,1031
32,Carolina Siqueira,2001-10-30,463.015.106-07,Feminino,3062.96,Arquiteto de Mineração,32,Financeiro,1032
33,Lorena Rodrigues,1972-02-27,216.185.512-30,Feminino,4372.76,Administrador de Legal,33,Financeiro,1033
34,Maria Fernanda Morais,1991-03-28,027.447.156-62,Feminino,1802.83,Analista de Governamental,34,RH,1034
35,Benício Dorneles,1971-01-20,184.521.525-74,Masculino,2521.76,Estrategista de TI,35,Markting,1035
36,Ian Longuinho,1991-09-24,575.781.448-98,Masculino,3000.70,Fabricante de Contabilidade,36,Markting,1036
37,Marli Lopes,2002-06-05,138.182.355-62,Feminino,5795.86,Arquiteto de Governamental,37,Financeiro,1037
38,Vitor Coqueiro,1982-01-21,551.721.563-72,Masculino,2265.25,Técnico de Propaganda,38,Financeiro,1038
39,Alice Carvalho,1987-04-28,388.268.008-39,Feminino,3888.80,Especialista de Educação,39,TI,1039
40,Paula Rolim,1972-02-13,334.530.658-16,Feminino,1727.96,Associado de Propaganda,40,Markting,1040
41,Patricia Gonçalves,1979-07-24,035.367.617-98,Feminino,5118.48,Coordenador de Design,41,Markting,1041
42,João Lucas Brum,1990-05-11,868.384.150-20,Masculino,46390.66,Diretor de TI,42,Markting,1042
43,Maria Vitória do Prado,1965-06-05,255.723.101-07,Feminino,3017.89,Planejador de Governamental,43,Markting,1043
44,Felícia da Veiga,1961-06-16,583.140.846-97,Feminino,3235.71,Agente de Saúde,44,Markting,1044
45,Maria Luiza Madeira,1969-03-30,626.023.346-93,Feminino,3359.85,Representante de Hospitalidade,45,Vendas,1045
46,Célia Guedes,1977-01-29,752.456.882-71,Feminino,5391.21,Coordenador de Legal,46,Vendas,1046
47,Laís Castanheira,1968-10-25,288.155.375-38,Feminino,3555.42,Fabricante de Saúde,47,Markting,1047
48,Júlia Rios,1985-08-17,044.125.020-31,Feminino,2582.12,Associado de Saúde,48,RH,1048
49,Yago Hernandes,1981-06-05,531.173.837-51,Masculino,3628.47,Analista de Varejo,49,Vendas,1049
50,Kaique Coqueiro,1962-04-04,206.746.082-08,Masculino,3235.21,Analista de Mineração,50,Markting,1050
51,Margarida Sá,1982-11-02,603.862.408-25,Feminino,3467.82,Designer de Governamental,51,Financeiro,1051
